Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,SC20,RL,70.0,11200,Pave,1,Reg,Lvl,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,3,5,906,6,0,134,1040,GasA,0,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,3,Detchd,1965.0,3,1,384,5,5,2,0,0,0,0,0,0,3,4,None,0,Feb,2008,WD,Normal,129500
12,SC60,RL,85.0,11924,Pave,1,IR1,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,0,4,PConc,0,4,3,2,998,6,0,177,1175,GasA,0,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,0,11,Typ,2,2,BuiltIn,2005.0,0,3,736,5,5,2,147,21,0,0,0,0,3,4,None,0,Jul,2006,New,Partial,345000
13,SC20,RL,71.0,12968,Pave,1,IR2,Lvl,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,4,CBlock,4,4,3,0,737,6,0,175,912,GasA,4,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,3,Detchd,1962.0,3,1,352,5,5,2,140,0,0,0,176,0,3,4,None,0,Sep,2008,WD,Normal,144000
14,SC20,RL,91.0,10652,Pave,1,IR1,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,2,4,PConc,2,4,0,6,0,6,0,1494,1494,GasA,0,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,2,7,Typ,1,2,Attchd,2006.0,2,3,840,5,5,2,160,33,0,0,0,0,3,4,None,0,Aug,2007,New,Partial,279500
15,SC20,RL,73.0,10920,Pave,1,IR1,Lvl,AllPub,Corner,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,4,CBlock,4,4,3,1,733,6,0,520,1253,GasA,4,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,1,Attchd,1960.0,2,1,352,5,5,2,0,213,176,0,0,0,3,1,None,0,May,2008,WD,Normal,157000
16,SC45,RM,51.0,6120,Pave,1,Reg,Lvl,AllPub,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,4,4,3,6,0,6,0,832,832,GasA,0,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,3,Detchd,1991.0,3,2,576,5,5,2,48,112,0,0,0,0,3,0,None,0,Jul,2007,WD,Normal,132000
17,SC20,RL,73.0,11241,Pave,1,IR1,Lvl,AllPub,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,4,CBlock,4,4,3,0,578,6,0,426,1004,GasA,0,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,5,Attchd,1970.0,0,2,480,5,5,2,0,0,0,0,0,0,3,4,Shed,700,Mar,2010,WD,Normal,149000
18,SC90,RL,72.0,10791,Pave,1,Reg,Lvl,AllPub,Inside,0,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,Slab,3,2,4,4,0,4,0,0,0,GasA,4,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,3,CarPort,1967.0,3,2,516,5,5,2,0,0,0,0,0,0,3,4,Shed,500,Oct,2006,WD,Normal,90000
19,SC20,RL,66.0,13695,Pave,1,Reg,Lvl,AllPub,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,3,2,646,6,0,468,1114,GasA,0,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,2,6,Typ,0,3,Detchd,2004.0,3,2,576,5,5,2,0,102,0,0,0,0,3,4,None,0,Jun,2008,WD,Normal,159000
20,SC20,RL,70.0,7560,Pave,1,Reg,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,4,CBlock,4,4,3,3,504,6,0,525,1029,GasA,4,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,3,Attchd,1958.0,3,1,294,5,5,2,0,0,0,0,0,0,3,2,None,0,May,2009,COD,Abnorml,139000
21,SC60,RL,101.0,14215,Pave,1,IR1,Lvl,AllPub,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,2,4,PConc,0,4,0,6,0,6,0,1158,1158,GasA,0,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,2,9,Typ,1,2,BuiltIn,2005.0,2,3,853,5,5,2,240,154,0,0,0,0,3,4,None,0,Nov,2006,New,Partial,325300
22,SC45,RM,57.0,7449,Pave,0,Reg,Bnk,AllPub,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,4,4,3,6,0,6,0,637,637,GasA,0,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,2,6,Typ,1,2,Attchd,1930.0,3,1,280,5,5,0,0,0,205,0,0,0,3,0,None,0,Jun,2007,WD,Normal,139400
23,SC20,RL,75.0,9742,Pave,1,Reg,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,2,4,PConc,2,4,3,6,0,6,0,1777,1777,GasA,0,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,2,7,Typ,1,2,Attchd,2002.0,2,2,534,5,5,2,171,159,0,0,0,0,3,4,None,0,Sep,2008,WD,Normal,230000
24,SC120,RM,44.0,4224,Pave,1,Reg,Lvl,AllPub,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,PConc,2,4,3,2,840,6,0,200,1040,GasA,4,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,5,Attchd,1976.0,3,2,572,5,5,2,100,110,0,0,0,0,3,4,None,0,Jun,2007,WD,Normal,129900
25,SC20,RL,71.0,8246,Pave,1,IR1,Lvl,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,2,CBlock,4,4,2,5,188,0,668,204,1060,GasA,0,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,2,6,Typ,1,5,Attchd,1968.0,3,1,270,5,5,2,406,90,0,0,0,0,3,2,None,0,May,2010,WD,Normal,154000
26,SC20,RL,110.0,14230,Pave,1,Reg,Lvl,AllPub,Corner,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,2,4,PConc,2,4,3,6,0,6,0,1566,1566,GasA,0,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,2,7,Typ,1,2,Attchd,2007.0,2,3,890,5,5,2,0,56,0,0,0,0,3,4,None,0,Jul,2009,WD,Normal,256300
27,SC20,RL,60.0,7200,Pave,1,Reg,Lvl,AllPub,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,4,4,2,1,234,5,486,180,900,GasA,4,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,2,5,Typ,0,3,Detchd,2005.0,3,2,576,5,5,2,222,32,0,0,0,0,3,4,None,0,May,2010,WD,Normal,134800
28,SC20,RL,98.0,11478,Pave,1,Reg,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,2,4,PConc,0,4,3,2,1218,6,0,486,1704,GasA,0,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,2,7,Typ,1,2,Attchd,2008.0,2,3,772,5,5,2,0,50,0,0,0,0,3,4,None,0,May,2010,WD,Normal,306000
29,SC20,RL,47.0,16321,Pave,1,IR1,Lvl,AllPub,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,4,1,1,1277,6,0,207,1484,GasA,4,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,2,Attchd,1957.0,2,1,319,5,5,2,288,258,0,0,0,0,3,4,None,0,Dec,2006,WD,Normal,207500
30,SC30,RM,60.0,6324,Pave,1,IR1,Lvl,AllPub,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,3,6,0,6,0,520,520,GasA,1,N,SBrkr,520,0,0,520,0,0,1,0,1,1,1,4,Typ,0,3,Detchd,1920.0,3,1,240,1,5,2,49,0,87,0,0,0,3,4,None,0,May,2008,WD,Normal,68500
31,SC70,C (all),50.0,8500,Pave,2,Reg,Lvl,AllPub,Inside,0,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,1,BrkTil,4,4,3,6,0,6,0,649,649,GasA,4,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,3,Detchd,1920.0,3,1,250,5,1,0,0,54,172,0,0,0,3,2,None,0,Jul,2008,WD,Normal,40000
32,SC20,RL,71.0,8544,Pave,1,IR1,Lvl,AllPub,CulDSac,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,3,6,0,6,0,1228,1228,GasA,2,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,2,6,Typ,0,3,Attchd,1966.0,3,1,271,5,5,2,0,65,0,0,0,0,3,2,None,0,Jun,2008,WD,Normal,149350
33,SC20,RL,85.0,11049,Pave,1,Reg,Lvl,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,0,4,0,6,0,6,0,1234,1234,GasA,0,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,2,7,Typ,0,3,Attchd,2007.0,2,2,484,5,5,2,0,30,0,0,0,0,3,4,None,0,Jan,2008,WD,Normal,179900
34,SC20,RL,70.0,10552,Pave,1,IR1,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,4,CBlock,4,4,3,5,1018,6,0,380,1398,GasA,2,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,2,6,Typ,1,2,Attchd,1959.0,2,2,447,5,5,2,0,38,0,0,0,0,3,4,None,0,Apr,2010,WD,Normal,165500
35,SC120,RL,60.0,7313,Pave,1,Reg,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,0,4,PConc,0,4,3,2,1153,6,0,408,1561,GasA,0,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,0,6,Typ,1,2,Attchd,2005.0,0,2,556,5,5,2,203,47,0,0,0,0,3,4,None,0,Aug,2007,WD,Normal,277500
36,SC60,RL,108.0,13418,Pave,1,Reg,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,2,4,PConc,0,4,0,6,0,6,0,1117,1117,GasA,0,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,2,9,Typ,1,2,BuiltIn,2004.0,0,3,691,5,5,2,113,32,0,0,0,0,3,4,None,0,Sep,2006,WD,Normal,309000
37,SC20,RL,112.0,10859,Pave,1,Reg,Lvl,AllPub,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,2,4,3,6,0,6,0,1097,1097,GasA,0,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,3,Attchd,1995.0,3,2,672,5,5,2,392,64,0,0,0,0,3,4,None,0,Jun,2009,WD,Normal,145000
38,SC20,RL,74.0,8532,Pave,1,Reg,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,4,CBlock,4,4,3,5,1213,6,0,84,1297,GasA,2,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,5,Attchd,1954.0,0,2,498,5,5,2,0,0,0,0,0,0,3,4,None,0,Oct,2009,WD,Normal,153000
39,SC20,RL,68.0,7922,Pave,1,Reg,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,3,2,731,6,0,326,1057,GasA,4,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,2,5,Typ,0,3,Detchd,1953.0,3,1,246,5,5,2,0,52,0,0,0,0,3,4,None,0,Jan,2010,WD,Abnorml,109000
40,SC90,RL,65.0,6040,Pave,1,Reg,Lvl,AllPub,Inside,0,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,4,PConc,3,2,4,4,0,4,0,0,0,GasA,4,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,1,6,Typ,0,3,None,1955.0,1,0,0,3,3,0,0,0,0,0,0,0,3,4,None,0,Jun,2008,WD,AdjLand,82000
41,SC20,RL,84.0,8658,Pave,1,Reg,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,4,CBlock,4,4,3,5,643,6,0,445,1088,GasA,0,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,5,Attchd,1965.0,2,2,440,5,5,2,0,138,0,0,0,0,3,1,None,0,Dec,2006,WD,Abnorml,160000
42,SC20,RL,115.0,16905,Pave,1,Reg,Lvl,AllPub,Inside,0,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,1,1,967,6,0,383,1350,GasA,2,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,2,Attchd,1959.0,2,1,308,5,5,1,0,104,0,0,0,0,3,4,None,0,Jul,2007,WD,Normal,170000
43,SC85,RL,66.5,9180,Pave,1,IR1,Lvl,AllPub,CulDSac,0,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,2,4,0,0,747,3,93,0,840,GasA,2,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,2,5,Typ,0,3,Attchd,1983.0,2,2,504,5,2,2,240,0,0,0,0,0,3,2,None,0,Dec,2007,WD,Normal,144000
44,SC20,RL,70.0,9200,Pave,1,IR1,Lvl,AllPub,CulDSac,0,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,2,4,0,3,280,1,491,167,938,GasA,4,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,3,Detchd,1977.0,3,1,308,5,5,2,145,0,0,0,0,0,3,2,None,0,Jul,2008,WD,Normal,130250
45,SC20,RL,70.0,7945,Pave,1,Reg,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,4,CBlock,4,4,3,0,179,1,506,465,1150,GasA,0,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,3,Attchd,1959.0,2,1,300,5,5,2,0,0,0,0,0,0,3,4,None,0,May,2006,WD,Normal,141000
46,SC120,RL,61.0,7658,Pave,1,Reg,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,0,4,PConc,0,4,3,2,456,6,0,1296,1752,GasA,0,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,0,6,Typ,1,2,Attchd,2005.0,2,2,576,5,5,2,196,82,0,0,0,0,3,4,None,0,Feb,2010,WD,Normal,319900
47,SC50,RL,48.0,12822,Pave,1,IR1,Lvl,AllPub,CulDSac,0,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,0,4,3,2,1351,6,0,83,1434,GasA,0,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,2,6,Typ,1,0,Attchd,2003.0,2,2,670,5,5,2,168,43,0,0,198,0,3,4,None,0,Aug,2009,WD,Abnorml,239686
48,SC20,FV,84.0,11096,Pave,1,Reg,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,0,2,24,6,0,1632,1656,GasA,0,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,2,7,Typ,0,3,Attchd,2006.0,2,3,826,5,5,2,0,146,0,0,0,0,3,4,None,0,Jul,2007,WD,Normal,249700
49,SC190,RM,33.0,4456,Pave,1,Reg,Lvl,AllPub,Inside,0,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,3,6,0,6,0,736,736,GasA,2,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,Typ,0,3,None,1920.0,1,0,0,3,3,0,0,0,102,0,0,0,3,4,None,0,Jun,2009,New,Partial,113000
50,SC20,RL,66.0,7742,Pave,1,Reg,Lvl,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,3,1,763,6,0,192,955,GasA,0,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,Typ,0,3,Attchd,1966.0,3,1,386,5,5,2,0,0,0,0,0,0,3,2,None,0,Jan,2007,WD,Normal,127000
51,SC60,RL,65.0,13869,Pave,1,IR2,Lvl,AllPub,Corner,0,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,2,4,0,2,182,6,0,612,794,GasA,2,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,Typ,0,3,Attchd,1997.0,0,2,388,5,5,2,0,75,0,0,0,0,3,4,None,0,Jul,2007,WD,Normal,177000
52,SC50,RM,52.0,6240,Pave,1,Reg,Lvl,AllPub,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,4,4,3,6,0,6,0,816,816,GasA,4,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,3,6,Typ,1,2,Detchd,1985.0,3,2,528,5,5,2,112,0,0,0,0,0,3,2,Shed,400,Sep,2006,WD,Normal,114500
53,SC90,RM,110.0,8472,Grvl,1,IR2,Bnk,AllPub,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,4,CBlock,2,4,1,3,104,2,712,0,816,GasA,4,N,SBrkr,816,0,0,816,1,0,1,0,2,1,3,5,Typ,0,3,CarPort,1963.0,3,2,516,5,5,2,106,0,0,0,0,0,3,4,None,0,May,2010,WD,Normal,110000
