Id,LotArea,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,OverallGrade,ExterGrade,KitchenScore,TotalBath,AllSF,AllPorchSF,AllSF-2,GarageCars-2,MSSubClass_SC120,MSSubClass_SC160,MSSubClass_SC190,MSSubClass_SC20,MSSubClass_SC30,MSSubClass_SC50,MSSubClass_SC60,MSSubClass_SC70,MSSubClass_SC80,MSSubClass_SC85,MSSubClass_SC90,MSZoning_Other,MSZoning_RL,MSZoning_RM,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_Inside,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Other,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Condition1_Feedr,Condition1_Norm,Condition1_Other,Condition1_PosN,Condition1_RRAn,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_Other,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Hip,RoofStyle_Other,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_BrkFace,Exterior2nd_HdBoard,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stucco,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_CBlock,Foundation_Other,Foundation_PConc,Foundation_Slab,CentralAir_Y,Electrical_FuseF,Electrical_Other,Electrical_SBrkr,MoSold_Aug,MoSold_Dec,MoSold_Feb,MoSold_Jan,MoSold_Jul,MoSold_Jun,MoSold_Mar,MoSold_May,MoSold_Nov,MoSold_Oct,MoSold_Sep,SaleType_New,SaleType_Other,SaleType_WD,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Other,SalePrice
11,11200,4,3,5,5,1965,1965,0.0,3,3,906,0,134,1040,5,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,1,384,2,0,0,0,0,0,0,0,2008,25,9,3,2.0,2080,0,4326400,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11.771436160121727
12,11924,3,3,9,5,2005,2006,286.0,5,3,998,0,177,1175,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,3,736,2,147,21,0,0,0,0,0,2006,45,15,5,4.0,3499,21,12243001,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12.751299696013493
13,12968,2,3,5,6,1962,1962,0.0,3,3,737,0,175,912,3,912,0,0,912,1,0,1,0,2,1,3,4,8,0,1,352,2,140,0,0,0,176,0,0,2008,30,9,3,2.0,1824,176,3326976,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.877568578558137
14,10652,3,3,7,5,2006,2007,306.0,4,3,0,0,1494,1494,5,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,3,840,2,160,33,0,0,0,0,0,2007,35,12,4,2.0,2988,33,8928144,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.540757571577293
15,10920,3,3,6,5,1960,1960,212.0,3,3,733,0,520,1253,3,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,1,352,2,0,213,176,0,0,0,0,2008,30,9,3,2.5,2506,389,6280036,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11.964001084330445
16,6120,4,3,7,8,1929,2001,0.0,3,3,0,0,832,832,5,854,0,0,854,0,0,1,0,2,1,3,5,8,0,2,576,2,48,112,0,0,0,0,0,2007,56,9,3,1.0,1686,112,2842596,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,11.790557201568507
17,11241,3,3,6,7,1970,1970,180.0,3,3,578,0,426,1004,5,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,2,480,2,0,0,0,0,0,0,700,2010,42,9,3,2.0,2008,0,4032064,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,11.911701584927595
18,10791,4,3,4,5,1967,1967,0.0,3,3,0,0,0,0,3,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,2,516,2,0,0,0,0,0,0,500,2006,20,9,6,2.0,1296,0,1679616,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11.407564949312404
19,13695,4,3,5,5,2004,2004,0.0,3,3,646,0,468,1114,5,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,2,576,2,0,102,0,0,0,0,0,2008,25,9,4,2.5,2228,102,4963984,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11.976659481202367
20,7560,4,3,5,6,1958,1965,0.0,3,3,504,0,525,1029,3,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,1,294,2,0,0,0,0,0,0,0,2009,30,9,3,1.0,2368,0,5607424,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.842229212112827
21,14215,3,3,8,5,2005,2006,380.0,4,3,0,0,1158,1158,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,3,853,2,240,154,0,0,0,0,0,2006,40,12,4,3.5,3534,154,12489156,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12.692503112461445
22,7449,4,3,7,7,1930,1950,0.0,3,3,0,0,637,637,5,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,1,280,0,0,0,205,0,0,0,0,2007,49,9,4,1.0,1745,205,3045025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11.84510277730856
23,9742,4,3,8,5,2002,2002,281.0,4,3,0,0,1777,1777,5,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,2,534,2,171,159,0,0,0,0,0,2008,40,12,4,2.0,3572,159,12759184,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,12.345834587905333
24,4224,4,3,5,7,1976,1976,0.0,3,3,840,0,200,1040,3,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,2,572,2,100,110,0,0,0,0,0,2007,35,9,3,2.0,2100,110,4410000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11.774520202658689
25,8246,3,3,5,8,1968,2001,0.0,3,4,188,668,204,1060,5,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,1,270,2,406,90,0,0,0,0,0,2010,40,12,4,2.0,2120,90,4494400,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11.944707881395766
26,14230,4,3,8,5,2007,2007,640.0,4,3,0,0,1566,1566,5,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,3,890,2,0,56,0,0,0,0,0,2009,40,12,4,2.0,3166,56,10023556,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,12.454103912352162
27,7200,4,3,5,7,1951,2000,0.0,3,3,234,486,180,900,3,900,0,0,900,0,1,1,0,3,1,4,5,8,0,2,576,2,222,32,0,0,0,0,0,2010,35,9,4,1.5,1800,32,3240000,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11.811547477460346
28,11478,4,3,8,5,2007,2008,200.0,4,3,1218,0,486,1704,5,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,3,772,2,0,50,0,0,0,0,0,2010,40,12,4,3.0,3408,50,11614464,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,12.631340380934516
29,16321,3,3,5,6,1957,1997,0.0,3,3,1277,0,207,1484,3,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,1,319,2,288,258,0,0,0,0,0,2006,30,9,3,2.0,3084,258,9511056,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12.24288661865289
30,6324,3,3,4,6,1927,1950,0.0,3,3,0,0,520,520,2,520,0,0,520,0,0,1,0,1,1,2,4,8,0,1,240,2,49,0,87,0,0,0,0,2008,24,9,2,1.0,1040,87,1081600,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11.134589024250317
31,8500,4,3,4,4,1920,1950,0.0,3,2,0,0,649,649,3,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,1,250,0,0,54,172,0,0,0,0,2008,16,6,3,1.0,1966,226,3865156,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10.596634733096073
32,8544,3,3,5,6,1966,2006,0.0,3,3,0,0,1228,1228,4,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,1,271,2,0,65,0,0,0,0,0,2008,30,9,4,1.5,2456,65,6031936,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11.914047823644257
33,11049,4,3,8,5,2007,2007,0.0,4,3,0,0,1234,1234,5,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,2,484,2,0,30,0,0,0,0,0,2008,40,12,4,2.0,2468,30,6091024,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,12.100156419938624
34,10552,3,3,5,5,1959,1959,0.0,3,3,1018,0,380,1398,4,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,2,447,2,0,38,0,0,0,0,0,2010,25,9,4,2.0,3098,38,9597604,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12.016726473799254
35,7313,4,3,9,5,2005,2005,246.0,5,3,1153,0,408,1561,5,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,2,556,2,203,47,0,0,0,0,0,2007,45,15,5,3.0,3122,47,9746884,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12.533576212168624
