Id,MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrArea,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition
1481,SC60,13650,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,232.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1687,563,0,2250,2,1,3,1,7,1,Y,238,130,0,0,0,0,0,Jun,2010,Normal
1482,SC120,7132,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,178.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1370,0,0,1370,2,0,2,1,6,1,Y,120,49,0,0,0,0,0,Apr,2010,Normal
1483,SC20,18494,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1324,0,0,1324,2,0,3,1,6,0,Y,36,23,0,0,0,0,0,Jan,2010,Normal
1484,SC120,3203,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,14.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1145,0,0,1145,2,0,2,1,6,0,Y,100,116,0,0,0,0,0,Jan,2010,Normal
1485,SC80,13300,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,744,630,0,1374,2,1,3,1,7,1,Y,100,0,0,0,0,0,0,Jun,2010,Normal
1486,SC60,8577,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,847,886,0,1733,2,1,3,1,7,1,Y,144,48,0,0,0,0,0,Apr,2010,Normal
1487,SC60,17433,Pave,IR2,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,114.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1645,830,0,2475,2,1,4,1,7,1,Y,23,172,0,0,256,0,0,Jan,2010,Normal
1488,SC20,8987,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,226.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1595,0,0,1595,2,0,2,1,6,1,Y,144,0,0,0,0,0,0,May,2010,Normal
1489,SC20,9215,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1218,0,0,1218,2,0,2,1,4,0,Y,0,136,0,0,0,0,0,Apr,2010,Partial
1490,SC20,10440,Pave,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1468,0,0,1468,2,0,2,1,6,1,Y,0,102,0,0,216,0,0,May,2010,Normal
1491,SC60,11920,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,122.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,831,828,0,1659,2,1,3,1,8,0,Y,144,68,0,0,0,0,0,Apr,2010,Normal
1492,SC30,9800,Pave,Reg,Lvl,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,0.0,TA,Fa,BrkTil,GasA,TA,N,FuseA,1012,0,0,1012,1,0,2,1,5,0,Y,121,0,80,0,0,0,0,Apr,2010,Normal
1493,SC20,15410,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,250.0,TA,Gd,CBlock,GasA,Ex,Y,SBrkr,1494,0,0,1494,2,0,3,1,7,2,Y,296,0,186,0,0,0,0,Apr,2010,Abnorml
1494,SC60,13143,Pave,IR1,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,504.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1251,1098,0,2349,2,1,4,1,9,1,Y,32,130,0,0,0,0,0,Jun,2010,Normal
1495,SC60,11134,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,180.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1402,823,0,2225,2,1,4,1,7,1,Y,198,30,0,0,0,0,0,Jun,2010,Normal
1496,SC120,4835,Pave,IR1,Lvl,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1488,0,0,1488,2,0,2,1,6,1,Y,168,50,0,0,0,0,0,Mar,2010,Normal
1497,SC160,3515,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,840,840,0,1680,2,1,2,1,3,0,Y,0,111,0,0,0,0,0,Jan,2010,Normal
1498,SC160,3215,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,120.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,600,600,0,1200,2,1,2,1,4,0,Y,0,172,0,0,0,0,0,Apr,2010,Normal
1499,SC160,2544,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,600,600,0,1200,2,1,2,1,4,0,Y,0,172,0,0,0,0,0,Feb,2010,Normal
1500,SC160,2544,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,216.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,600,636,0,1236,2,1,2,1,4,0,Y,0,166,0,0,0,0,0,May,2010,Normal
1501,SC160,2980,Pave,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,1159.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,756,756,0,1512,2,1,2,1,5,0,Y,0,32,0,0,0,0,0,May,2010,Normal
1502,SC160,2403,Pave,IR1,Lvl,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,530,550,0,1080,2,1,2,1,4,0,Y,0,50,0,0,0,0,0,Jun,2010,Normal
1503,SC20,12853,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1418,0,0,1418,1,1,1,1,6,1,Y,160,192,0,224,0,0,0,Apr,2010,Partial
1504,SC60,7379,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,975,873,0,1848,2,1,3,1,7,1,Y,280,184,0,0,0,0,0,Apr,2010,Normal
1505,SC20,8000,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,0.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1492,0,0,1492,2,0,3,1,6,1,Y,277,137,0,0,0,0,0,Apr,2010,Normal
1506,SC20,10456,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,CompShg,120.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,1829,0,0,1829,2,0,4,1,8,0,Y,0,76,0,0,0,0,0,May,2010,Normal
1507,SC60,10791,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,0.0,TA,TA,PConc,GasA,Ex,Y,SBrkr,1280,1215,0,2495,2,1,4,1,9,1,Y,224,32,0,0,0,0,0,Mar,2010,Normal
1508,SC50,18837,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1.5Fin,6,5,1978,1978,Gable,CompShg,0.0,TA,TA,PConc,GasA,TA,Y,SBrkr,1287,604,0,1891,3,0,3,1,7,1,Y,0,69,0,0,0,0,0,Apr,2010,Normal
1509,SC60,9600,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1971,1971,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,930,715,0,1645,1,2,4,1,7,0,Y,0,78,0,0,0,0,0,Jun,2010,Normal
1510,SC20,9600,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,172.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1232,0,0,1232,1,1,3,1,6,0,Y,0,224,0,0,0,0,0,Apr,2010,Normal
1511,SC20,9900,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,0.0,TA,TA,PConc,GasA,Gd,Y,SBrkr,1209,0,0,1209,1,0,3,1,6,0,Y,0,0,120,0,0,0,0,Apr,2010,Normal
1512,SC20,9680,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,268.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1510,0,0,1510,2,0,3,1,6,0,Y,0,40,0,0,204,0,0,Apr,2010,Normal
1513,SC80,10600,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1964,1964,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1131,644,0,1775,2,0,3,1,8,0,Y,0,172,0,0,0,0,0,May,2010,Family
1514,SC90,13260,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,6,1962,2001,Hip,CompShg,144.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1728,0,0,1728,2,0,6,2,10,0,Y,0,0,0,0,0,0,0,Jan,2010,Abnorml
1515,SC50,9724,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,7,1952,2002,Gable,CompShg,265.0,Gd,TA,CBlock,GasA,Gd,Y,SBrkr,1929,532,0,2461,2,0,3,1,7,2,Y,0,0,0,0,0,0,0,Mar,2010,Normal
1516,SC50,17360,Pave,Reg,Lvl,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,6,1949,1950,Gable,CompShg,340.0,TA,Gd,CBlock,GasA,TA,Y,SBrkr,1019,537,0,1556,2,0,3,1,6,1,Y,0,0,150,0,0,0,0,Jan,2010,Normal
1517,SC85,11380,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,6,8,1966,2008,Gable,CompShg,216.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,1128,0,0,1128,1,0,2,1,5,1,Y,238,0,0,0,0,0,1500,Jan,2010,Normal
1518,SC90,8267,Pave,Reg,Lvl,Corner,Gtl,NAmes,Feedr,Norm,Duplex,1Story,5,5,1958,1958,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1604,0,0,1604,2,0,4,2,8,0,Y,42,0,0,0,0,0,0,Mar,2010,Normal
1519,SC20,8197,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,2003,2009,Gable,CompShg,506.0,Gd,TA,PConc,GasA,Ex,Y,SBrkr,1480,0,0,1480,2,0,3,1,7,0,Y,252,73,0,0,0,0,300,Feb,2010,Normal
1520,SC20,8050,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,150.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1143,0,0,1143,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,May,2010,Normal
1521,SC20,10725,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,91.0,TA,TA,CBlock,GasA,Fa,Y,SBrkr,1206,0,0,1206,1,0,3,1,6,0,Y,0,21,0,0,0,0,0,May,2010,Normal
1522,SC20,10032,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1959,1959,Gable,CompShg,432.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1580,0,0,1580,1,1,3,1,6,2,Y,0,28,0,0,160,0,0,Jun,2010,Normal
1523,SC50,8382,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,5,1956,1956,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,FuseA,832,505,0,1337,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,Feb,2010,Normal
1524,SC20,10950,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1064,0,0,1064,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,May,2010,Normal
1525,SC20,10895,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1955,1955,Gable,CompShg,0.0,TA,Gd,CBlock,GasA,TA,Y,SBrkr,972,0,0,972,1,0,3,1,5,0,Y,0,0,205,0,0,0,0,Jun,2010,Normal
1526,SC190,13587,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,2fmCon,1Story,5,5,1958,1958,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,988,0,0,988,1,0,2,1,5,0,Y,0,0,0,0,0,0,0,Apr,2010,Abnorml
1527,SC30,7898,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1920,1994,Gable,CompShg,0.0,TA,TA,BrkTil,GasA,Gd,Y,SBrkr,985,0,0,985,1,0,2,1,4,0,N,0,0,0,0,0,0,0,Apr,2010,Normal
1528,SC50,8064,Pave,Reg,Lvl,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,8,1948,2004,Gable,CompShg,0.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,816,408,0,1224,1,0,3,1,5,0,Y,414,0,0,0,0,0,0,May,2010,Normal
1529,SC20,7635,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,1175,0,0,1175,1,1,3,1,6,0,Y,0,0,0,0,0,0,0,Jun,2010,Normal
1530,SC20,9760,Pave,Reg,Lvl,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,7,1963,1984,Hip,CompShg,218.0,TA,TA,CBlock,GasA,TA,Y,SBrkr,1395,0,0,1395,1,0,2,1,7,1,Y,657,0,113,0,240,0,0,May,2010,Normal
1531,SC50,4800,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1900,1954,Hip,CompShg,771.0,TA,TA,PConc,GasA,TA,Y,SBrkr,1157,687,0,1844,1,0,3,1,9,2,Y,84,0,0,0,0,0,0,Jan,2010,Abnorml
1532,SC30,4485,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,0.0,TA,TA,PConc,GasA,TA,Y,SBrkr,936,0,0,936,1,0,2,1,5,1,P,51,0,135,0,0,0,0,May,2010,Normal
1533,SC20,5805,Pave,Reg,Bnk,Inside,Mod,OldTown,Norm,Norm,1Fam,1Story,5,7,1957,1957,Hip,CompShg,0.0,TA,TA,CBlock,GasA,Gd,Y,SBrkr,1347,0,0,1347,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,Jun,2010,Normal
1534,SC45,6900,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,7,1938,2000,Gable,CompShg,0.0,TA,TA,PConc,GasA,Gd,Y,SBrkr,827,424,0,1251,1,0,3,1,6,0,N,0,0,0,0,0,0,0,Jan,2010,Normal
1535,SC50,11851,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,7,1948,2009,Gable,CompShg,0.0,TA,Gd,BrkTil,GasA,Ex,Y,SBrkr,1027,606,0,1633,1,0,3,1,7,1,Y,0,100,126,0,0,0,0,Jun,2010,Normal
1536,SC50,8239,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1920,1962,Gable,CompShg,0.0,TA,TA,BrkTil,GasA,TA,Y,SBrkr,1060,185,0,1245,1,0,3,1,6,0,Y,0,0,334,0,0,0,0,Mar,2010,Normal
1537,SC30,9656,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,2,1923,1970,Gable,CompShg,0.0,TA,Fa,BrkTil,GasA,TA,N,SBrkr,832,0,0,832,1,0,2,1,5,1,N,0,0,0,0,0,0,0,Jun,2010,Abnorml
1538,SC70,9600,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,9,1900,2003,Gable,CompShg,0.0,Gd,Gd,BrkTil,GasW,TA,N,SBrkr,930,636,0,1566,2,0,3,1,7,0,Y,54,228,246,0,0,0,0,Apr,2010,Abnorml
1539,SC70,9000,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,9,1890,2002,Gable,CompShg,0.0,Gd,Gd,Stone,GasA,Ex,Y,SBrkr,1157,1111,0,2268,3,0,3,1,7,0,N,0,108,0,0,0,0,0,Apr,2010,Normal
1540,SC190,9045,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,3,1910,1950,Gable,CompShg,0.0,TA,Fa,BrkTil,Grav,Fa,N,FuseF,1128,1128,0,2256,2,0,4,2,12,0,N,0,18,18,0,0,0,0,Jun,2010,Abnorml
1541,SC70,10560,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1922,1994,Gable,CompShg,0.0,TA,TA,CBlock,GasA,Ex,Y,SBrkr,868,602,0,1470,1,1,2,1,6,0,Y,0,0,0,0,0,0,0,Jun,2010,Normal
1542,SC50,5830,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Feedr,Feedr,1Fam,1.5Fin,5,6,1950,1997,Gable,CompShg,0.0,TA,Gd,CBlock,GasA,Ex,Y,SBrkr,1030,582,0,1612,1,1,3,1,7,0,Y,0,0,0,0,0,0,0,Mar,2010,Normal
1543,SC75,7793,Pave,IR1,Bnk,Corner,Gtl,BrkSide,Norm,Norm,1Fam,2.5Unf,7,7,1922,2005,Gable,CompShg,0.0,TA,TA,BrkTil,GasA,TA,N,FuseA,1160,908,0,2068,1,1,3,1,8,1,Y,0,0,60,0,0,0,0,May,2010,Normal
1544,SC30,5000,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,7,1925,1950,Gable,CompShg,0.0,TA,TA,BrkTil,GasA,TA,N,FuseF,765,0,0,765,1,0,2,1,4,0,P,135,0,41,0,0,0,0,Apr,2010,Normal
1545,SC50,6000,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1939,1950,Gable,CompShg,0.0,TA,TA,BrkTil,GasA,TA,Y,SBrkr,608,524,0,1132,1,0,2,1,5,0,Y,0,0,128,0,0,0,0,Apr,2010,Abnorml
1546,SC50,6000,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1940,1950,Gable,CompShg,0.0,TA,Gd,CBlock,GasA,Ex,Y,FuseA,848,348,0,1196,1,1,3,1,6,2,Y,0,0,0,0,0,0,0,Mar,2010,Normal
